Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,11.430000,11.540000,10.812000,11.070000,11.070000,1491700
2023-01-04,11.360000,11.420000,11.070000,11.340000,11.340000,1354700
2023-01-05,11.180000,11.180000,10.800000,10.810000,10.810000,1269400
2023-01-06,10.850000,11.000000,10.475000,10.950000,10.950000,1194100
2023-01-09,11.180000,11.680000,11.120000,11.230000,11.230000,2104600
2023-01-10,11.250000,11.486000,11.080000,11.380000,11.380000,1594700
2023-01-11,11.530000,12.000000,11.490000,11.900000,11.900000,2414300
2023-01-12,12.000000,12.072000,11.639000,12.050000,12.050000,2271100
2023-01-13,11.820000,12.650000,11.730000,12.650000,12.650000,2039300
2023-01-17,12.750000,13.440000,12.430000,13.330000,13.330000,3037600
2023-01-18,13.570000,14.170000,13.170000,13.180000,13.180000,2699900
2023-01-19,13.020000,13.250000,12.640000,13.100000,13.100000,2355300
2023-01-20,13.290000,13.772000,13.170000,13.540000,13.540000,2323900
2023-01-23,13.690000,14.550000,13.450000,14.540000,14.540000,3448400
2023-01-24,14.370000,15.420000,14.190000,14.520000,14.520000,2504400
2023-01-25,14.100000,14.650000,13.710000,14.650000,14.650000,1977700
2023-01-26,14.990000,15.350000,14.330000,15.080000,15.080000,3046000
2023-01-27,15.220000,18.180000,15.090000,17.770000,17.770000,23644500
2023-01-30,17.700001,18.110001,16.205000,16.299999,16.299999,11645800
2023-01-31,17.709999,21.340000,17.469999,19.850000,19.850000,63020200
2023-02-01,19.980000,22.170000,19.200001,21.680000,21.680000,37053100
2023-02-02,22.580000,23.469999,21.280001,21.920000,21.920000,29316700
2023-02-03,21.340000,28.480000,21.120001,25.879999,25.879999,71831500
2023-02-06,27.459999,30.920000,25.879999,27.549999,27.549999,104104100
2023-02-07,26.549999,27.270000,23.090000,24.530001,24.530001,59207800
2023-02-08,24.680000,28.400000,24.500000,26.190001,26.190001,50828900
2023-02-09,27.459999,27.500000,22.340000,22.490000,22.490000,37021200
2023-02-10,22.309999,23.589001,21.559999,22.990000,22.990000,24349800
2023-02-13,22.930000,22.980000,20.719999,21.139999,21.139999,22434800
2023-02-14,20.660000,23.559999,20.410000,23.309999,23.309999,28135400
2023-02-15,23.000000,25.700001,22.840000,25.500000,25.500000,26296700
2023-02-16,25.040001,26.770000,24.049999,24.230000,24.230000,22603000
2023-02-17,23.570000,24.370001,22.650000,23.840000,23.840000,16132200
2023-02-21,24.040001,25.360001,21.415001,21.629999,21.629999,22200700
2023-02-22,21.610001,22.860001,21.299999,22.360001,22.360001,14517100
2023-02-23,23.670000,23.760000,21.770000,22.870001,22.870001,18690300
2023-02-24,22.230000,22.650000,21.680000,22.410000,22.410000,9800900
2023-02-27,22.520000,22.830000,21.645000,22.190001,22.190001,11575300
2023-02-28,22.309999,23.559999,22.059999,22.580000,22.580000,14568500
2023-03-01,22.790001,22.900000,20.309999,20.730000,20.730000,14634400
2023-03-02,20.520000,21.830000,20.330000,21.309999,21.309999,19332000
2023-03-03,25.290001,28.940001,24.030001,28.480000,28.480000,75575200
2023-03-06,28.450001,29.980000,26.709999,27.360001,27.360001,50682900
2023-03-07,27.170000,28.370001,25.770000,26.139999,26.139999,26616100
2023-03-08,26.129999,26.610001,24.600000,24.820000,24.820000,16689800
2023-03-09,25.000000,25.370001,22.620001,22.700001,22.700001,17554800
2023-03-10,22.590000,22.870001,20.761999,21.270000,21.270000,15945600
2023-03-13,21.000000,22.559999,20.280001,21.760000,21.760000,15398500
2023-03-14,22.350000,22.745001,20.740000,21.100000,21.100000,12555200
2023-03-15,20.600000,21.160000,20.160000,20.850000,20.850000,9062000
2023-03-16,21.180000,22.238001,20.535000,22.070000,22.070000,9980800
2023-03-17,22.260000,22.320000,21.020000,21.620001,21.620001,8177700
2023-03-20,21.400000,22.200001,21.014999,21.580000,21.580000,6896400
2023-03-21,21.670000,23.545000,21.549999,23.290001,23.290001,11732500
2023-03-22,23.400000,24.209999,22.459999,22.750000,22.750000,13825600
2023-03-23,23.000000,25.950001,23.000000,24.889999,24.889999,20248300
2023-03-24,25.549999,26.770000,24.670000,25.270000,25.270000,21777800
2023-03-27,25.530001,26.040001,24.430000,25.440001,25.440001,13105800
2023-03-28,25.570000,25.825001,24.120001,24.389999,24.389999,7827700
2023-03-29,24.700001,26.004999,24.350000,25.980000,25.980000,10345800
2023-03-30,26.330000,27.690001,26.260000,27.629999,27.629999,16688700
2023-03-31,27.740000,33.570000,27.209999,33.570000,33.570000,62877700
2023-04-03,33.820000,34.680000,32.230000,33.869999,33.869999,49977800
2023-04-04,31.910000,32.000000,24.152000,24.950001,24.950001,100866300
2023-04-05,24.030001,24.889999,20.500000,21.090000,21.090000,57114800
2023-04-06,21.160000,23.860001,20.400000,22.840000,22.840000,60417000
2023-04-10,22.650000,23.100000,21.530001,23.070000,23.070000,21396000
2023-04-11,23.690001,25.150000,22.530001,22.750000,22.750000,31658000
2023-04-12,23.469999,23.469999,21.420000,22.040001,22.040001,20198700
2023-04-13,22.100000,23.139999,21.719999,22.290001,22.290001,15605400
2023-04-14,22.549999,22.950001,21.469999,21.889999,21.889999,13032400
2023-04-17,21.730000,23.094999,21.549999,22.780001,22.780001,11871200
2023-04-18,23.219999,23.280001,22.260000,22.760000,22.760000,11983200
2023-04-19,22.350000,22.930000,21.860001,22.709999,22.709999,8800300
2023-04-20,22.299999,23.820000,20.660000,20.709999,20.709999,21444200
2023-04-21,20.799999,21.049999,19.549999,20.059999,20.059999,15307300
2023-04-24,18.430000,19.160000,17.459999,17.850000,17.850000,22332900
2023-04-25,18.420000,18.450001,17.500000,17.690001,17.690001,11403600
2023-04-26,18.030001,18.250000,17.309999,17.690001,17.690001,8746900
2023-04-27,17.700001,17.969999,17.270000,17.590000,17.590000,6501200
2023-04-28,17.450001,18.070000,16.910000,17.820000,17.820000,6581000
2023-05-01,17.740000,18.790001,17.709999,18.629999,18.629999,9151500
2023-05-02,18.309999,18.520000,17.070000,17.240000,17.240000,8559900
2023-05-03,17.200001,17.959999,16.790001,17.400000,17.400000,6685200
2023-05-04,17.480000,18.040001,17.150000,17.920000,17.920000,5602900
2023-05-05,18.180000,18.990000,17.780001,18.700001,18.700001,7626600
2023-05-08,18.860001,19.340000,18.219999,19.230000,19.230000,6023600
2023-05-09,19.170000,20.110001,19.030001,19.879999,19.879999,7193700
2023-05-10,20.250000,20.629999,19.600000,20.180000,20.180000,7988400
2023-05-11,20.350000,20.389999,19.160000,19.840000,19.840000,5578700
2023-05-12,20.000000,20.014999,19.059999,19.420000,19.420000,4053900
2023-05-15,20.680000,24.309999,20.200001,23.969999,23.969999,51408700
2023-05-16,23.500000,24.860001,22.750000,23.559999,23.559999,36097900
2023-05-17,23.990000,27.129999,23.570000,26.950001,26.950001,37992800
2023-05-18,27.400000,28.150000,25.870001,26.820000,26.820000,31462000
2023-05-19,26.809999,27.750000,25.059999,25.280001,25.280001,19520700
2023-05-22,25.459999,28.259001,25.219999,27.870001,27.870001,28741900
2023-05-23,28.820000,29.230000,26.639999,27.160000,27.160000,27567900
2023-05-24,27.160000,28.430000,26.270000,27.850000,27.850000,19822400
2023-05-25,30.500000,30.700001,27.010000,28.410000,28.410000,36753800
2023-05-26,28.750000,33.500000,28.650000,32.939999,32.939999,54634300
2023-05-30,37.610001,44.020000,35.200001,43.950001,43.950001,107615300
2023-05-31,41.099998,42.139999,38.009998,40.009998,40.009998,87319500
2023-06-01,32.759998,37.250000,30.260000,34.720001,34.720001,83477500
2023-06-02,33.599998,34.570000,30.600000,32.259998,32.259998,45347200
2023-06-05,31.209999,35.930000,30.500000,35.320000,35.320000,35706200
2023-06-06,35.099998,38.849998,34.650002,38.189999,38.189999,50647000
2023-06-07,39.259998,39.330002,35.299999,36.419998,36.419998,38176000
2023-06-08,36.200001,37.599998,35.630001,36.220001,36.220001,20886500
2023-06-09,37.330002,39.380001,35.810001,36.990002,36.990002,28387200
2023-06-12,37.660000,38.330002,36.009998,37.599998,37.599998,22789700
2023-06-13,38.400002,45.220001,37.150002,43.110001,43.110001,74591400
2023-06-14,42.360001,43.900002,40.639999,42.840000,42.840000,39559100
2023-06-15,41.820000,48.500000,41.349998,46.369999,46.369999,60058400
2023-06-16,48.410000,48.869999,43.430000,44.490002,44.490002,41027800
2023-06-20,46.189999,46.880001,42.080002,43.189999,43.189999,29571700
2023-06-21,43.759998,44.160000,37.500000,39.040001,39.040001,34634600
2023-06-22,37.770000,39.400002,36.790001,37.439999,37.439999,27095000
2023-06-23,36.080002,36.389999,32.630001,33.389999,33.389999,32012700
2023-06-26,33.810001,35.480000,31.690001,31.959999,31.959999,25571000
2023-06-27,32.599998,33.840000,31.570000,33.369999,33.369999,24558900
2023-06-28,32.799999,36.180000,32.560001,35.459999,35.459999,26407800
2023-06-29,36.169998,37.110001,35.029999,35.900002,35.900002,23019600
2023-06-30,36.610001,38.320000,36.139999,36.430000,36.430000,23942200
2023-07-03,36.939999,37.580002,35.570000,37.480000,37.480000,12739700
2023-07-05,37.439999,40.465000,36.930000,40.119999,40.119999,25266500
2023-07-06,39.000000,40.380001,36.180000,39.080002,39.080002,29200100
2023-07-07,39.560001,42.189999,39.032001,39.250000,39.250000,31146300
2023-07-10,40.000000,41.249001,37.619999,40.799999,40.799999,22534500
2023-07-11,40.990002,42.580002,40.110001,41.470001,41.470001,23278900
2023-07-12,42.500000,42.520000,39.380001,40.220001,40.220001,23173800
2023-07-13,40.500000,41.680000,39.549999,39.650002,39.650002,19720500
2023-07-14,39.610001,40.290001,37.130001,37.230000,37.230000,20473500
2023-07-17,37.200001,40.250000,36.450001,38.730000,38.730000,19596800
2023-07-18,38.730000,42.049999,38.439999,40.610001,40.610001,25147100
2023-07-19,42.000000,43.080002,39.630001,40.740002,40.740002,25311000
2023-07-20,39.799999,41.060001,38.590000,38.970001,38.970001,15659900
2023-07-21,39.730000,40.549999,37.410000,38.029999,38.029999,15804600
2023-07-24,38.500000,39.180000,37.230000,38.169998,38.169998,11140400
2023-07-25,38.299999,41.264999,38.029999,40.360001,40.360001,20859500
2023-07-26,40.000000,41.849998,39.200001,41.220001,41.220001,19255300
2023-07-27,42.340000,43.757999,37.761002,38.209999,38.209999,30001900
2023-07-28,39.009998,39.990002,38.299999,39.759998,39.759998,15823600
2023-07-31,40.000000,42.160000,39.779999,42.000000,42.000000,18478800
2023-08-01,41.279999,44.900002,40.180000,44.369999,44.369999,28084100
2023-08-02,42.320000,42.430000,38.360001,39.869999,39.869999,29427600
2023-08-03,39.549999,40.459000,38.709999,39.279999,39.279999,13596200
2023-08-04,40.200001,40.680000,37.660000,37.799999,37.799999,19196800
2023-08-07,38.000000,38.075001,34.439999,36.650002,36.650002,18882200
2023-08-08,35.310001,36.400002,34.709999,35.990002,35.990002,11502100
2023-08-09,35.709999,35.775002,32.430000,32.869999,32.869999,16831500
2023-08-10,33.400002,34.529999,32.709999,33.119999,33.119999,12060500
2023-08-11,32.540001,33.668999,31.650000,32.939999,32.939999,10096300
2023-08-14,32.290001,33.904999,32.049999,33.900002,33.900002,8163900
2023-08-15,33.700001,34.056999,32.220001,32.290001,32.290001,9114000
2023-08-16,31.680000,32.549999,31.330000,31.690001,31.690001,7673800
2023-08-17,31.500000,31.700001,29.580000,30.010000,30.010000,11541200
2023-08-18,28.639999,30.969999,28.475000,30.549999,30.549999,9398900
2023-08-21,31.000000,32.220001,30.620001,31.780001,31.780001,10571600
2023-08-22,32.290001,32.790001,30.780001,31.320000,31.320000,8001100
2023-08-23,31.650000,33.189999,30.850000,32.599998,32.599998,10519200
2023-08-24,33.509998,33.669998,28.000000,28.830000,28.830000,22970400
2023-08-25,28.799999,29.760000,28.101999,29.150000,29.150000,11961100
2023-08-28,29.250000,29.750000,28.969999,29.219999,29.219999,7028600
2023-08-29,29.049999,31.490000,28.770000,30.780001,30.780001,12691200
2023-08-30,30.730000,31.990000,30.105000,31.430000,31.430000,10623300
2023-08-31,31.180000,31.840000,30.702000,31.020000,31.020000,9075700
2023-09-01,31.590000,31.780001,30.660000,31.219999,31.219999,6757100
2023-09-05,31.219999,31.535000,29.950001,31.430000,31.430000,8459200
2023-09-06,32.049999,32.650002,30.900000,31.459999,31.459999,19546900
2023-09-07,27.940001,28.200001,25.530001,27.610001,27.610001,26065400
2023-09-08,27.520000,28.670000,27.441000,28.040001,28.040001,11619000
2023-09-11,28.180000,28.549999,27.330000,28.219999,28.219999,8947800
2023-09-12,27.660000,30.080000,27.542000,28.100000,28.100000,11535600
2023-09-13,28.100000,28.327999,27.299999,27.770000,27.770000,7320300
2023-09-14,28.110001,28.646999,27.530001,28.219999,28.219999,7811400
2023-09-15,28.090000,28.299999,27.040001,27.360001,27.360001,8191700
2023-09-18,27.020000,27.344999,26.417999,27.129999,27.129999,6722800
2023-09-19,26.920000,27.430000,26.320000,27.270000,27.270000,6150300
2023-09-20,27.420000,28.090000,26.370001,26.400000,26.400000,6966800
2023-09-21,24.940001,26.180000,24.940001,25.650000,25.650000,7774900
2023-09-22,25.889999,26.280001,24.450001,24.510000,24.510000,7584700
2023-09-25,24.000000,24.730000,23.809999,24.370001,24.370001,6446300
2023-09-26,23.950001,24.469999,23.450001,23.629999,23.629999,5707700
2023-09-27,24.000000,24.950001,23.870001,24.420000,24.420000,7604800
2023-09-28,24.180000,25.465000,23.900000,25.160000,25.160000,6096800
2023-09-29,25.639999,26.224001,25.170000,25.520000,25.520000,6657800
2023-10-02,25.719999,25.860001,24.440001,24.700001,24.700001,4860900
2023-10-03,24.299999,24.730000,23.610001,23.969999,23.969999,5313600
2023-10-04,24.100000,24.350000,23.370001,24.110001,24.110001,4534800
2023-10-05,23.820000,24.650000,23.531000,24.230000,24.230000,3959200
2023-10-06,23.799999,24.980000,23.559999,24.750000,24.750000,4900100
2023-10-09,24.010000,24.990000,23.620001,24.709999,24.709999,5867400
2023-10-10,24.820000,27.000000,24.660000,26.719999,26.719999,11077000
2023-10-11,27.150000,27.500000,26.389999,26.719999,26.719999,10460000
2023-10-12,27.000000,27.059999,24.940001,25.280001,25.280001,7856500
2023-10-13,25.040001,25.250000,24.440001,24.750000,24.750000,5171800
2023-10-16,24.680000,25.150000,24.350000,24.780001,24.780001,4479800
2023-10-17,24.420000,26.459999,24.330000,26.299999,26.299999,7719100
2023-10-18,26.000000,26.379999,25.590000,25.730000,25.730000,5209200
2023-10-19,25.980000,26.159000,25.020000,25.230000,25.230000,6654700
2023-10-20,25.100000,25.160000,23.950001,24.309999,24.309999,6489700
2023-10-23,23.990000,24.990000,23.309999,24.549999,24.549999,4510700
2023-10-24,25.000000,26.469999,24.950001,26.459999,26.459999,5994800
2023-10-25,26.200001,26.282000,24.410000,24.430000,24.430000,4762300
2023-10-26,24.430000,25.900000,24.430000,25.309999,25.309999,6014000
2023-10-27,26.000000,26.040001,24.542000,24.850000,24.850000,3712600
2023-10-30,25.610001,25.760000,23.660000,24.370001,24.370001,4985700
2023-10-31,24.620001,24.790001,23.879999,24.400000,24.400000,2961200
2023-11-01,24.750000,24.790001,23.270000,23.969999,23.969999,5566100
2023-11-02,25.040001,27.629999,24.910000,27.260000,27.260000,12224000
2023-11-03,27.309999,29.370001,27.219999,28.590000,28.590000,11146600
2023-11-06,29.139999,29.240000,26.430000,26.980000,26.980000,7888800
2023-11-07,27.250000,28.375000,26.805000,27.650000,27.650000,5754400
2023-11-08,27.830000,27.879999,26.620001,27.000000,27.000000,3497000
2023-11-09,27.230000,27.670000,26.059999,26.059999,26.059999,4397600
2023-11-10,25.959999,26.985001,25.660000,26.719999,26.719999,4285400
2023-11-13,26.430000,27.610001,26.040001,27.600000,27.600000,5096500
2023-11-14,29.280001,30.290001,28.790001,29.629999,29.629999,12101300
2023-11-15,29.670000,31.830000,29.320000,29.990000,29.990000,11177900
2023-11-16,29.500000,29.660000,28.010000,29.030001,29.030001,7962300
2023-11-17,29.250000,29.799999,28.770000,29.309999,29.309999,5574700
2023-11-20,29.370001,31.700001,27.340000,28.040001,28.040001,21299800
2023-11-21,28.889999,30.230000,28.110001,28.510000,28.510000,15546900
2023-11-22,29.379999,30.219999,28.540001,28.799999,28.799999,10580000
2023-11-24,29.070000,29.150000,28.010000,28.889999,28.889999,5339400
2023-11-27,28.799999,29.900000,28.221001,29.010000,29.010000,8041400
2023-11-28,29.180000,29.785999,28.459999,29.670000,29.670000,7663600
2023-11-29,30.209999,31.650000,29.910000,30.200001,30.200001,10070600
2023-11-30,30.719999,30.896000,28.760000,29.120001,29.120001,7884200
2023-12-01,29.000000,30.900000,28.344000,30.889999,30.889999,10340900
2023-12-04,30.690001,31.350000,29.969999,30.309999,30.309999,9696800
2023-12-05,30.070000,30.414000,29.170000,30.049999,30.049999,7344100
2023-12-06,30.590000,30.841000,29.150000,29.160000,29.160000,16599700
2023-12-07,26.510000,27.250000,25.120001,26.020000,26.020000,25346100
2023-12-08,26.120001,28.618000,25.910999,28.270000,28.270000,16073100
2023-12-11,28.049999,28.628000,27.549999,28.150000,28.150000,8921800
2023-12-12,27.950001,28.120001,27.309999,27.730000,27.730000,7805500
2023-12-13,27.840000,28.400000,26.780001,28.139999,28.139999,9480200
